지식등록법령조문일련번호,지식등록법령일련번호,시행일자,조문번호,조문가지번호,조문제목,등록여부,법령지식조문일련번호,조문일련번호
150604,8417,2010-07-01,0012,00,주요 도시의 주요 도로에서의 집회ㆍ시위,Y,150604,19737113
150602,8417,2010-07-01,0010,00,재결서 또는 판결문 사본의 첨부,Y,150602,19737111
150614,8418,2010-07-01,0009,00,장애인연금 대리수령 신청방법,Y,150614,19732817
150599,8417,2010-07-01,0003,00,보완 통고서의 송달,Y,150599,19737104
150598,8417,2010-07-01,0002,00,시위방법,Y,150598,19737103
150601,8417,2010-07-01,0006,00,주거지역 등에서의 집회 또는 시위의 제한 내용,Y,150601,19737107
150603,8417,2010-07-01,0017,00,집회 또는 시위의 자진 해산의 요청 등,Y,150603,19737118
150606,8417,2010-07-01,0014,00,확성기등의 소음기준,Y,150606,19737115
150608,8417,2010-07-01,0016,00,조정된 질서유지인 명단의 통보방법,Y,150608,19737117
150613,8418,2010-07-01,0011,00,수급권의 소멸 사유 신고,Y,150613,19732819
150612,8418,2010-07-01,0012,00,이의신청,Y,150612,19732820
137015,1977,2010-07-01,0024,00,勞動組合의 專任者,Y,137015,24002786
137723,2020,2010-07-05,0002,00,정의,Y,137723,24230069
137722,2020,2010-07-05,0016,00,국가기술자격의 취소 등,Y,137722,24230099
137721,2019,2010-07-05,0004,00,사업주의 책무,Y,137721,24219779
137719,2019,2010-07-05,0011,00,고령자인재은행의 지정,Y,137719,24219769
137718,2019,2010-07-05,0023,00,보고와 검사,Y,137718,24219817
137717,2019,2010-07-05,0002,00,정의,Y,137717,24219777
137716,2019,2010-07-05,0001,00,목적,Y,137716,24219765
137714,2018,2010-07-05,0011,00,인턴취업지원,Y,137714,31227525
137713,2018,2010-07-05,0010,00,직업교육훈련,Y,137713,31227524
137712,2018,2010-07-05,0013,00,경력단절여성지원센터의 지정,Y,137712,31227527
137711,2018,2010-07-05,0003,00,국가 등의 책무,Y,137711,31227537
137710,2018,2010-07-05,0002,00,정의,Y,137710,31227518
137724,2020,2010-07-05,0012,00,국가기술자격 검정 과목의 면제,Y,137724,24230076
137726,2020,2010-07-05,0009,00,국가기술자격의 등급 및 응시자격,Y,137726,24230084
137727,2021,2010-07-05,0003,00,정의,Y,137727,19556293
137739,2022,2010-07-05,0006,00,勞動委員會의 구성등,Y,137739,24230955
137738,2022,2010-07-05,0026,00,中央勞動委員會의 再審權,Y,137738,24230994
137737,2022,2010-07-05,0016,00,會議의 召集,Y,137737,24230972
137735,2022,2010-07-05,0027,00,中央勞動委員會의 처분에 대한 訴,Y,137735,24230995
137734,2022,2010-07-05,0003,00,勞動委員會의 管掌,Y,137734,24230953
137732,2022,2010-07-05,0001,00,目的,Y,137732,24230965
137731,2021,2010-07-05,0006,00,협의회의 구성,Y,137731,19556297
137730,2021,2010-07-05,0026,00,고충처리위원,Y,137730,19556321
137729,2021,2010-07-05,0028,00,고충의 처리,Y,137729,19556323
137728,2021,2010-07-05,0004,00,노사협의회의 설치,Y,137728,19556294
137173,2007,2010-07-05,0014,00,국유재산의 무상대부,Y,137173,19558351
